Данил,Глазунов,21,Москва,glazsan17@gmail.com, AA07AMM
Виктор,Бучнев,22,Саратов,vibucha2000years@mail.ru,AAC792H
Сергей, Бобров,24,Калуга,bobrdobr@outlook.com,AAY452D
Иван,Ведищев,22,Кастрома,vedivan228@mail.ru,AB01MFL
Алексей,Шестаков,30,Самара,sgestaknumberone@vk.com,AB14GMD
Федор,Узков,19,Воронеж,fedora2003@yandex.ru,AB15UVT
Джеймс,Харден,35,Сывтывкар,hard13@gmail.com32,AB19NWG
Джимми,Батлер,29,Кирсанов,fireball@mail.ru,ABV496J
Янис,Атетокумбо,41,Севастополь,kolin@mail.ru,ABW940K
Майлз,Тернер,18,Рязань,terner@yandex.ru,ABX857D
Барбоса,Селиванов,43,Воронеж,barbos43@yandex.ru,ABV496J
